time	V(out)	I(Bat)
0.000000000000000e+000	2.827272e+001	-6.732165e-004
9.999999717180685e-010	2.827272e+001	-6.731826e-004
1.007860561550467e-009	2.827272e+001	-6.731824e-004
1.023581741215263e-009	2.827272e+001	-6.731820e-004
1.055024100544855e-009	2.827272e+001	-6.731809e-004
1.073038028225621e-009	2.827272e+001	-6.731803e-004
1.098271487929924e-009	2.827272e+001	-6.731795e-004
1.125537434963234e-009	2.827272e+001	-6.731786e-004
1.180069329029854e-009	2.827272e+001	-6.731767e-004
1.275640334683324e-009	2.827272e+001	-6.731735e-004
1.466782345990263e-009	2.827272e+001	-6.731671e-004
1.849066368604141e-009	2.827272e+001	-6.731542e-004
2.613634413831897e-009	2.827272e+001	-6.731285e-004
4.142770504287409e-009	2.827272e+001	-6.730771e-004
7.201042685198435e-009	2.827272e+001	-6.729742e-004
1.331758704702048e-008	2.827272e+001	-6.727687e-004
2.555067577066459e-008	2.827272e+001	-6.723584e-004
4.791998092310231e-008	2.827272e+001	-6.716101e-004
7.088784893674119e-008	2.827272e+001	-6.708443e-004
1.016747991043923e-007	2.827272e+001	-6.698214e-004
1.165839782290584e-007	2.827272e+001	-6.693276e-004
1.238422067380543e-007	2.827272e+001	-6.690876e-004
1.269725047961025e-007	2.827272e+001	-6.689843e-004
1.294300453062870e-007	2.827272e+001	-6.689032e-004
1.318530353115365e-007	2.827272e+001	-6.688232e-004
1.359542669830370e-007	2.827272e+001	-6.686876e-004
1.441567303260379e-007	2.827272e+001	-6.684152e-004
1.605616570120397e-007	2.827272e+001	-6.678633e-004
1.835358917311756e-007	2.827272e+001	-6.670670e-004
2.174040554893007e-007	2.827273e+001	-6.658266e-004
2.633864165345356e-007	2.827274e+001	-6.639832e-004
3.328851548308540e-007	2.827276e+001	-6.607916e-004
4.408846701775960e-007	2.827280e+001	-6.548262e-004
6.005847527107783e-007	2.827285e+001	-6.436859e-004
8.333426214969095e-007	2.827294e+001	-6.236965e-004
9.569924291237634e-007	2.827297e+001	-6.112671e-004
1.075028856963524e-006	2.827299e+001	-5.983497e-004
1.088280142591422e-006	2.827299e+001	-5.968840e-004
1.114782713847217e-006	2.827298e+001	-5.940035e-004
1.167787856358807e-006	2.827296e+001	-5.885098e-004
1.248825506498185e-006	2.827293e+001	-5.808487e-004
1.338223590099678e-006	2.827289e+001	-5.736743e-004
1.453942455373095e-006	2.827283e+001	-5.661173e-004
1.499759098624449e-006	2.827280e+001	-5.636889e-004
1.512551999337668e-006	2.827280e+001	-5.631156e-004
1.512924029590491e-006	2.827280e+001	-5.630999e-004
1.513668090096136e-006	2.827280e+001	-5.630690e-004
1.514184821114121e-006	2.827280e+001	-5.630475e-004
1.514559535588911e-006	2.827280e+001	-5.630319e-004
1.514828226682418e-006	2.827280e+001	-5.630206e-004
1.515117240161749e-006	2.827280e+001	-5.630086e-004
1.515482323257879e-006	2.827280e+001	-5.629934e-004
1.515915236093365e-006	2.827280e+001	-5.629754e-004
1.516335284644953e-006	2.827280e+001	-5.629578e-004
1.516634425761849e-006	2.827280e+001	-5.629454e-004
1.516912932147362e-006	2.827280e+001	-5.629338e-004
1.517201893336676e-006	2.827280e+001	-5.629217e-004
1.517589488001495e-006	2.827280e+001	-5.629056e-004
1.518025587065845e-006	2.827280e+001	-5.628875e-004
1.518544257398469e-006	2.827280e+001	-5.628660e-004
1.518821507839753e-006	2.827280e+001	-5.628545e-004
1.519140217093823e-006	2.827280e+001	-5.628412e-004
1.519466928763260e-006	2.827280e+001	-5.628276e-004
1.519900196155122e-006	2.827280e+001	-5.628095e-004
1.520389580159981e-006	2.827280e+001	-5.627891e-004
1.520747852573516e-006	2.827280e+001	-5.627742e-004
1.521039348735296e-006	2.827280e+001	-5.627621e-004
1.521346579185934e-006	2.827280e+001	-5.627493e-004
1.521731383024059e-006	2.827280e+001	-5.627333e-004
1.522182248935831e-006	2.827280e+001	-5.627146e-004
1.522653689950485e-006	2.827280e+001	-5.626950e-004
1.522925328379752e-006	2.827280e+001	-5.626837e-004
1.523224662866930e-006	2.827280e+001	-5.626713e-004
1.523555924029085e-006	2.827280e+001	-5.626575e-004
1.523979771003109e-006	2.827280e+001	-5.626399e-004
1.524475315596577e-006	2.827280e+001	-5.626192e-004
1.524844140817219e-006	2.827280e+001	-5.626039e-004
1.525136780244508e-006	2.827280e+001	-5.625918e-004
1.525445412896982e-006	2.827280e+001	-5.625790e-004
1.525828769543139e-006	2.827280e+001	-5.625631e-004
1.526280246121676e-006	2.827280e+001	-5.625443e-004
1.526751655511196e-006	2.827280e+001	-5.625248e-004
1.527023140299405e-006	2.827280e+001	-5.625135e-004
1.527323492295211e-006	2.827280e+001	-5.625010e-004
1.527654157284042e-006	2.827280e+001	-5.624873e-004
1.528078529625566e-006	2.827280e+001	-5.624696e-004
1.528573218377992e-006	2.827280e+001	-5.624490e-004
1.528940797890815e-006	2.827280e+001	-5.624338e-004
1.529232590937982e-006	2.827280e+001	-5.624217e-004
1.529540172121310e-006	2.827280e+001	-5.624089e-004
1.529923086496286e-006	2.827280e+001	-5.623931e-004
1.530373528252770e-006	2.827280e+001	-5.623744e-004
1.530847989887873e-006	2.827280e+001	-5.623547e-004
1.531119427441847e-006	2.827280e+001	-5.623435e-004
1.531423216090392e-006	2.827280e+001	-5.623309e-004
1.531752250563975e-006	2.827280e+001	-5.623172e-004
1.532178380322477e-006	2.827280e+001	-5.622995e-004
1.532670758880233e-006	2.827280e+001	-5.622791e-004
1.533036507255978e-006	2.827280e+001	-5.622639e-004
1.533327067630910e-006	2.827280e+001	-5.622518e-004
1.533633059984366e-006	2.827280e+001	-5.622391e-004
1.534015347410978e-006	2.827280e+001	-5.622234e-004
1.534464253884506e-006	2.827280e+001	-5.622047e-004
1.534943931716885e-006	2.827280e+001	-5.621849e-004
1.535215574765294e-006	2.827280e+001	-5.621737e-004
1.535523713191443e-006	2.827280e+001	-5.621609e-004
1.535850929339395e-006	2.827280e+001	-5.621473e-004
1.536279266493629e-006	2.827280e+001	-5.621295e-004
1.536769081221111e-006	2.827280e+001	-5.621092e-004
1.537132431182389e-006	2.827280e+001	-5.620942e-004
1.537421692879773e-006	2.827280e+001	-5.620822e-004
1.537725985714474e-006	2.827280e+001	-5.620696e-004
1.538107714740904e-006	2.827280e+001	-5.620538e-004
1.538555034043976e-006	2.827280e+001	-5.620353e-004
